WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX
143,119,113,0,1
143,116,113,0,1
119,113,113,0,1
143,116,116,0,1
122,119,119,0,1
116,119,116,0,1
122,116,113,0,1
119,116,143,0,1
248,122,122,0,1
248,122,116,0,1
116,116,116,0,1
116,116,113,0,4
248,113,113,0,3
143,113,116,0,3
248,119,113,0,3
116,119,119,0,3
248,116,113,0,2
143,116,113,0,4
248,122,122,0,4
122,122,116,0,4
143,116,113,0,5
119,119,116,0,4
113,113,113,0,3
113,113,113,0,4
116,113,113,0,4
113,116,113,0,2
113,113,116,0,3
122,113,113,0,4
119,119,116,0,3
248,122,116,0,1
122,122,122,0,1
122,122,119,0,1
113,113,119,0,1
143,113,113,0,1
113,113,113,0,1
119,200,116,0,1
113,113,113,0,1
113,116,113,0,1
113,113,113,0,1
113,116,113,0,1
143,116,113,0,1
113,113,113,0,1
122,116,119,0,1
122,113,116,0,1
116,116,116,0,1
143,119,119,0,1
116,122,116,0,1
200,122,116,0,1
116,113,113,0,1
116,116,176,0,1
143,119,119,0,1
122,122,116,0,1
116,116,116,0,1
143,113,113,0,1
116,116,116,0,1
116,119,143,0,1
143,119,113,0,1
119,116,119,0,1
113,119,119,0,1
143,122,119,0,1
116,119,113,0,1
116,119,116,0,1
116,116,116,0,1
119,122,122,0,1
143,122,119,0,1
143,119,116,0,1
116,116,116,0,1
113,116,116,0,1
113,113,113,0,1
122,122,113,0,1
116,116,113,0,1
116,122,119,0,1
143,119,116,0,1
116,353,353,0,1
116,176,176,0,1
122,119,176,0,1
116,119,116,0,1
116,119,116,0,1
116,116,116,0,1
119,122,122,0,1
122,116,122,0,1
119,116,113,0,1
113,116,113,0,1
113,113,113,0,1
143,122,113,0,1
116,113,113,0,1
116,119,116,0,1
143,116,113,0,1
113,116,113,0,1
113,113,116,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
113,116,116,0,1
113,113,116,0,1
113,113,113,0,1
119,119,113,0,1
116,113,113,0,1
116,116,119,0,1
116,113,113,0,1
116,113,116,0,1
116,116,116,0,1
116,116,116,0,1
143,116,113,0,1
116,113,113,0,1
119,116,116,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
122,116,113,0,1
143,116,119,0,1
143,116,116,0,1
116,113,113,0,1
113,113,119,0,1
113,113,113,0,1
113,113,113,0,1
113,116,113,0,1
143,116,113,0,1
143,113,113,0,1
113,113,116,0,1
143,122,119,0,1
116,113,113,0,1
113,113,113,0,1
113,116,116,0,1
143,119,113,0,1
116,116,119,0,1
116,113,116,0,1
143,116,113,0,1
116,122,116,0,1
248,116,116,0,1
143,116,116,0,1
143,116,116,0,1
248,116,116,0,1
116,113,113,0,1
116,116,119,0,1
113,113,113,0,1
113,113,122,0,1
143,116,113,0,1
143,122,116,0,1
119,119,116,0,1
116,113,113,0,1
113,119,116,0,1
113,116,116,0,1
143,113,113,0,1
116,116,116,0,1
113,113,116,0,1
116,116,122,0,1
116,116,119,0,1
122,116,119,0,1
116,119,200,0,1
116,116,122,0,1
116,119,116,0,1
116,122,116,0,1
116,113,113,0,1
143,116,113,0,1
248,113,113,0,1
143,113,113,0,1
113,116,116,0,1
143,116,116,0,1
116,122,122,0,1
119,119,122,0,1
122,113,113,0,1
116,122,122,0,1
248,119,143,0,1
248,143,122,0,1
248,119,200,0,1
248,119,143,0,1
200,116,119,0,1
113,113,113,0,1
248,116,113,0,1
113,116,116,0,1
113,113,122,0,1
116,116,143,0,1
119,116,143,0,1
122,143,143,0,1
143,122,248,0,1
143,119,143,0,1
248,122,143,0,1
248,116,143,0,1
248,113,113,0,1
143,113,116,0,1
143,116,116,0,1
116,119,113,0,1
113,113,113,0,1
119,119,116,0,1
113,113,113,0,1
122,113,116,0,1
119,113,113,0,1
122,122,116,0,1
122,116,113,0,1
122,116,200,0,1
113,116,116,0,1
113,113,116,0,1
113,113,113,0,1
116,113,116,0,1
116,116,143,0,1
122,116,113,0,1
116,113,113,0,1
119,119,116,0,1
143,116,113,0,1
113,113,113,0,1
113,113,113,0,1
113,113,113,0,1
143,116,116,0,1
119,116,116,0,1
248,113,116,0,1
122,116,116,0,1
122,119,113,0,1
113,116,116,0,1
122,122,116,0,1
122,122,119,0,1
116,116,122,0,1
116,116,116,0,1
116,122,113,0,1
116,119,116,0,1
116,119,113,0,1
143,116,116,0,1
116,113,116,0,2
116,122,119,0,3
122,122,122,0,3
113,116,116,0,3
116,113,116,0,1
122,113,116,0,1
122,116,116,0,3
113,116,122,0,2
122,113,113,0,3
143,113,113,0,2
116,116,113,0,2
122,119,122,0,1
122,122,116,0,3
113,119,116,0,3
113,119,116,0,3
116,113,113,0,2
116,113,116,0,3
122,122,119,0,3
122,113,113,0,3
143,113,116,0,2
122,122,119,0,3
122,116,113,0,3
113,113,113,0,4
116,116,116,0,3
116,119,122,0,4
122,116,113,0,3
122,122,113,0,3
116,122,116,0,2
116,116,113,0,3
119,119,122,0,4
