,date,product
18,2019-01-02 15:36:28,soda
101,2019-01-02 15:47:17,coffee
7,2019-01-02 15:55:56,soda
158,2019-01-02 16:00:50,coffee
141,2019-01-02 16:03:00,coffee
80,2019-01-02 16:03:06,coffee
2,2019-01-02 16:03:16,ice cream
22,2019-01-02 16:03:31,soda
8,2019-01-02 16:09:15,hot chocolate
102,2019-01-02 16:13:20,coffee
4,2019-01-02 16:25:43,coffee
107,2019-01-02 16:26:03,coffee
59,2019-01-02 16:32:49,coffee
134,2019-01-02 16:36:03,coffee
35,2019-01-02 16:42:40,coffee
31,2019-01-02 16:52:40,soda
144,2019-01-02 17:40:23,coffee
161,2019-01-02 18:04:43,coffee
6,2019-01-02 18:28:45,hot chocolate
138,2019-01-02 18:35:03,coffee
3,2019-01-02 18:37:18,hot chocolate
2,2019-01-02 18:41:35,soda
21,2019-01-02 18:41:40,coffee
5,2019-01-02 18:45:46,hot chocolate
47,2019-01-03 08:01:27,coffee
46,2019-01-03 08:02:59,coffee
3,2019-01-03 08:06:31,coffee
50,2019-01-03 08:16:10,coffee
17,2019-01-03 08:18:56,coffee
13,2019-01-03 08:24:47,soda
108,2019-01-03 08:25:16,coffee
154,2019-01-03 08:26:34,coffee
152,2019-01-03 08:28:39,coffee
149,2019-01-03 08:34:44,coffee
109,2019-01-03 08:37:37,coffee
8,2019-01-03 08:38:21,soda
10,2019-01-03 08:39:08,soda
29,2019-01-03 08:39:23,coffee
57,2019-01-03 08:42:03,coffee
6,2019-01-03 08:42:37,coffee
52,2019-01-03 08:46:35,coffee
6,2019-01-03 08:48:44,hot chocolate
15,2019-01-03 08:52:35,coffee
40,2019-01-03 08:54:57,coffee
76,2019-01-03 09:05:58,coffee
48,2019-01-03 09:07:36,coffee
67,2019-01-03 09:12:32,coffee
1,2019-01-03 09:13:15,coffee
150,2019-01-03 09:14:09,coffee
55,2019-01-03 09:15:22,coffee
24,2019-01-03 09:16:05,coffee
130,2019-01-03 09:20:56,coffee
102,2019-01-03 09:27:35,coffee
132,2019-01-03 09:30:27,coffee
131,2019-01-03 09:32:55,coffee
162,2019-01-03 09:38:54,coffee
41,2019-01-03 09:43:56,soda
43,2019-01-03 09:44:52,soda
174,2019-01-03 10:02:19,coffee
80,2019-01-03 10:14:07,coffee
136,2019-01-03 10:16:57,coffee
4,2019-01-03 10:17:17,hot chocolate
16,2019-01-03 10:19:56,coffee
153,2019-01-03 10:26:04,coffee
93,2019-01-03 10:33:18,coffee
23,2019-01-03 10:37:02,coffee
137,2019-01-03 10:41:07,coffee
38,2019-01-03 10:43:42,soda
107,2019-01-03 10:45:59,coffee
129,2019-01-03 10:46:52,coffee
51,2019-01-03 10:46:53,coffee
81,2019-01-03 10:47:23,coffee
19,2019-01-03 10:48:11,coffee
143,2019-01-03 10:52:42,coffee
159,2019-01-03 10:52:43,coffee
23,2019-01-03 10:56:09,soda
9,2019-01-03 11:01:25,hot chocolate
106,2019-01-03 11:02:39,coffee
53,2019-01-03 11:08:44,coffee
18,2019-01-03 11:09:06,coffee
42,2019-01-03 11:09:51,soda
86,2019-01-03 11:10:29,coffee
117,2019-01-03 11:12:44,coffee
7,2019-01-03 11:13:21,coffee
156,2019-01-03 11:19:23,coffee
133,2019-01-03 11:26:16,coffee
147,2019-01-03 11:29:55,coffee
161,2019-01-03 11:32:46,coffee
32,2019-01-03 11:34:17,coffee
134,2019-01-03 11:34:47,coffee
169,2019-01-03 11:40:36,coffee
148,2019-01-03 11:42:48,coffee
69,2019-01-03 11:43:50,coffee
97,2019-01-03 11:44:07,coffee
111,2019-01-03 11:46:41,coffee
166,2019-01-03 11:47:07,coffee
179,2019-01-03 11:49:53,coffee
158,2019-01-03 11:50:57,coffee
59,2019-01-03 11:51:40,coffee
98,2019-01-03 11:57:50,coffee
82,2019-01-03 11:58:42,coffee
18,2019-01-03 12:04:51,soda
2,2019-01-03 12:07:15,hot chocolate
37,2019-01-03 12:07:16,soda
10,2019-01-03 12:10:52,coffee
123,2019-01-03 12:11:10,coffee
75,2019-01-03 12:11:49,coffee
39,2019-01-03 12:15:00,coffee
20,2019-01-03 12:16:02,coffee
64,2019-01-03 12:17:18,coffee
96,2019-01-03 12:20:33,coffee
24,2019-01-03 12:25:08,soda
104,2019-01-03 12:26:03,coffee
32,2019-01-03 12:26:07,soda
91,2019-01-03 12:26:52,coffee
21,2019-01-03 12:33:16,coffee
5,2019-01-03 12:41:19,hot chocolate
79,2019-01-03 12:52:40,coffee
181,2019-01-03 12:53:08,coffee
2,2019-01-03 12:56:36,coffee
182,2019-01-03 12:57:08,coffee
43,2019-01-03 13:01:11,coffee
127,2019-01-03 13:01:21,coffee
25,2019-01-03 13:03:07,coffee
45,2019-01-03 13:12:45,coffee
63,2019-01-03 13:16:41,coffee
0,2019-01-03 13:21:34,coffee
38,2019-01-03 13:33:14,coffee
94,2019-01-03 13:35:08,coffee
19,2019-01-03 13:38:09,soda
11,2019-01-03 13:46:38,soda
28,2019-01-03 13:47:05,soda
95,2019-01-03 13:49:41,coffee
171,2019-01-03 14:03:44,coffee
73,2019-01-03 14:10:48,coffee
160,2019-01-03 14:11:15,coffee
7,2019-01-03 14:18:43,hot chocolate
155,2019-01-03 14:20:53,coffee
146,2019-01-03 14:20:57,coffee
13,2019-01-03 14:21:14,hot chocolate
14,2019-01-03 14:25:25,coffee
90,2019-01-03 14:25:35,coffee
26,2019-01-03 14:25:57,soda
13,2019-01-03 14:27:48,coffee
61,2019-01-03 14:28:11,coffee
9,2019-01-03 14:29:02,coffee
11,2019-01-03 14:35:54,hot chocolate
36,2019-01-03 14:36:04,coffee
12,2019-01-03 14:38:12,coffee
180,2019-01-03 14:53:20,coffee
2,2019-01-03 14:54:02,ice cream
110,2019-01-03 14:56:46,coffee
157,2019-01-03 14:57:07,coffee
165,2019-01-03 15:01:04,coffee
87,2019-01-03 15:07:42,coffee
114,2019-01-03 15:09:06,coffee
173,2019-01-03 15:25:44,coffee
62,2019-01-03 15:37:17,coffee
44,2019-01-03 15:44:30,coffee
138,2019-01-03 15:44:50,coffee
5,2019-01-03 15:56:58,coffee
140,2019-01-03 15:59:05,coffee
4,2019-01-03 16:02:49,soda
88,2019-01-03 16:07:23,coffee
39,2019-01-03 16:10:32,soda
54,2019-01-03 16:24:42,coffee
1,2019-01-03 16:24:55,ice cream
33,2019-01-03 16:25:11,soda
1,2019-01-03 16:30:36,hot chocolate
68,2019-01-03 16:38:45,coffee
121,2019-01-03 16:42:59,coffee
10,2019-01-03 16:50:31,hot chocolate
112,2019-01-03 16:50:41,coffee
105,2019-01-03 16:56:52,coffee
125,2019-01-03 16:57:30,coffee
56,2019-01-03 16:59:38,coffee
135,2019-01-03 17:11:06,coffee
103,2019-01-03 17:15:06,coffee
101,2019-01-03 17:21:40,coffee
163,2019-01-03 17:34:01,coffee
118,2019-01-03 17:35:23,coffee
22,2019-01-03 17:35:47,soda
3,2019-01-03 17:37:05,ice cream
60,2019-01-03 17:37:32,coffee
0,2019-01-03 17:40:28,ice cream
3,2019-01-03 17:50:37,hot chocolate
12,2019-01-03 18:16:47,soda
0,2019-01-03 18:30:07,hot chocolate
164,2019-01-03 18:36:22,coffee
8,2019-01-03 18:42:41,hot chocolate
25,2019-01-03 18:49:38,soda
40,2019-01-03 18:55:42,soda
33,2019-01-04 08:02:13,coffee
64,2019-01-04 08:11:34,coffee
68,2019-01-04 08:14:27,coffee
125,2019-01-04 08:16:09,coffee
123,2019-01-04 08:26:24,coffee
153,2019-01-04 08:29:49,coffee
29,2019-01-04 08:36:21,coffee
90,2019-01-04 08:36:26,coffee
24,2019-01-04 08:36:49,coffee
176,2019-01-04 08:46:19,coffee
142,2019-01-04 08:54:05,coffee
40,2019-01-04 08:58:06,coffee
162,2019-01-04 09:01:00,coffee
41,2019-01-04 09:02:31,coffee
140,2019-01-04 09:05:22,coffee
9,2019-01-04 09:08:29,coffee
132,2019-01-04 09:09:56,coffee
136,2019-01-04 09:10:36,coffee
103,2019-01-04 09:14:55,coffee
149,2019-01-04 09:18:46,coffee
3,2019-01-04 09:19:06,ice cream
16,2019-01-04 09:20:01,coffee
73,2019-01-04 09:21:53,coffee
169,2019-01-04 09:22:29,coffee
29,2019-01-04 09:25:25,soda
2,2019-01-04 09:26:40,soda
43,2019-01-04 09:27:47,coffee
9,2019-01-04 09:28:00,soda
57,2019-01-04 09:29:27,coffee
78,2019-01-04 09:29:55,coffee
18,2019-01-04 09:36:49,coffee
15,2019-01-04 09:39:35,hot chocolate
89,2019-01-04 09:49:11,coffee
104,2019-01-04 09:49:20,coffee
17,2019-01-04 09:51:21,coffee
100,2019-01-04 10:01:01,coffee
124,2019-01-04 10:03:41,coffee
71,2019-01-04 10:04:57,coffee
143,2019-01-04 10:17:23,coffee
83,2019-01-04 10:19:06,coffee
69,2019-01-04 10:28:26,coffee
1,2019-01-04 10:35:33,soda
112,2019-01-04 10:39:31,coffee
93,2019-01-04 10:43:40,coffee
177,2019-01-04 10:45:42,coffee
13,2019-01-04 10:47:52,hot chocolate
10,2019-01-04 10:53:31,hot chocolate
96,2019-01-04 10:54:37,coffee
173,2019-01-04 10:55:26,coffee
117,2019-01-04 10:56:24,coffee
151,2019-01-04 10:59:48,coffee
146,2019-01-04 11:02:49,coffee
2,2019-01-04 11:03:23,hot chocolate
51,2019-01-04 11:08:32,coffee
12,2019-01-04 11:10:31,coffee
45,2019-01-04 11:14:47,coffee
38,2019-01-04 11:14:48,soda
109,2019-01-04 11:15:16,coffee
5,2019-01-04 11:17:06,coffee
138,2019-01-04 11:22:16,coffee
7,2019-01-04 11:23:37,coffee
88,2019-01-04 11:28:58,coffee
42,2019-01-04 11:29:00,coffee
61,2019-01-04 11:32:57,coffee
14,2019-01-04 11:34:45,hot chocolate
65,2019-01-04 11:37:17,coffee
152,2019-01-04 11:38:59,coffee
11,2019-01-04 11:39:23,hot chocolate
16,2019-01-04 11:41:27,soda
76,2019-01-04 11:44:28,coffee
147,2019-01-04 11:45:52,coffee
163,2019-01-04 11:48:03,coffee
30,2019-01-04 11:50:16,coffee
54,2019-01-04 11:54:45,coffee
95,2019-01-04 11:59:12,coffee
110,2019-01-04 12:04:09,coffee
23,2019-01-04 12:04:55,coffee
168,2019-01-04 12:12:19,coffee
44,2019-01-04 12:12:39,coffee
156,2019-01-04 12:13:12,coffee
9,2019-01-04 12:15:59,hot chocolate
105,2019-01-04 12:19:46,coffee
10,2019-01-04 12:21:42,soda
39,2019-01-04 12:25:11,coffee
102,2019-01-04 12:27:26,coffee
52,2019-01-04 12:29:54,coffee
87,2019-01-04 12:32:01,coffee
122,2019-01-04 12:32:45,coffee
108,2019-01-04 12:39:15,coffee
144,2019-01-04 12:41:13,coffee
14,2019-01-04 12:41:47,soda
46,2019-01-04 12:42:15,coffee
160,2019-01-04 12:43:50,coffee
48,2019-01-04 12:45:59,coffee
172,2019-01-04 12:53:05,coffee
72,2019-01-04 12:53:37,coffee
70,2019-01-04 12:55:11,coffee
91,2019-01-04 12:59:08,coffee
75,2019-01-04 13:01:13,coffee
115,2019-01-04 13:05:44,coffee
129,2019-01-04 13:08:34,coffee
106,2019-01-04 13:09:51,coffee
14,2019-01-04 13:10:30,coffee
17,2019-01-04 13:10:48,soda
15,2019-01-04 13:19:03,coffee
6,2019-01-04 13:20:19,coffee
32,2019-01-04 13:21:03,soda
98,2019-01-04 13:21:56,coffee
139,2019-01-04 13:22:51,coffee
20,2019-01-04 13:23:29,soda
60,2019-01-04 13:23:33,coffee
174,2019-01-04 13:26:05,coffee
1,2019-01-04 13:26:18,hot chocolate
53,2019-01-04 13:32:04,coffee
33,2019-01-04 13:32:39,soda
12,2019-01-04 13:34:54,hot chocolate
170,2019-01-04 13:35:13,coffee
130,2019-01-04 13:39:40,coffee
157,2019-01-04 13:42:13,coffee
31,2019-01-04 13:43:28,coffee
19,2019-01-04 13:47:53,coffee
4,2019-01-04 13:54:58,coffee
3,2019-01-04 13:55:54,soda
16,2019-01-04 13:58:30,hot chocolate
63,2019-01-04 14:04:23,coffee
0,2019-01-04 14:05:23,ice cream
74,2019-01-04 14:07:09,coffee
27,2019-01-04 14:12:45,coffee
94,2019-01-04 14:20:56,coffee
161,2019-01-04 14:29:40,coffee
2,2019-01-04 14:31:37,ice cream
10,2019-01-04 14:38:43,coffee
38,2019-01-04 14:45:21,coffee
24,2019-01-04 14:45:55,soda
167,2019-01-04 14:54:53,coffee
101,2019-01-04 15:00:18,coffee
1,2019-01-04 15:12:43,ice cream
111,2019-01-04 15:13:21,coffee
141,2019-01-04 15:14:51,coffee
145,2019-01-04 15:16:45,coffee
131,2019-01-04 15:20:00,coffee
92,2019-01-04 15:24:43,coffee
85,2019-01-04 15:27:17,coffee
128,2019-01-04 15:34:26,coffee
6,2019-01-04 16:08:15,hot chocolate
49,2019-01-04 16:12:58,coffee
135,2019-01-04 16:28:16,coffee
41,2019-01-04 16:33:10,soda
2,2019-01-04 16:40:05,coffee
47,2019-01-04 16:48:54,coffee
0,2019-01-04 16:52:05,hot chocolate
59,2019-01-04 16:55:27,coffee
1,2019-01-04 17:04:29,coffee
166,2019-01-04 17:07:18,coffee
28,2019-01-04 17:31:16,soda
126,2019-01-04 17:35:35,coffee
154,2019-01-04 17:36:46,coffee
18,2019-01-04 17:42:07,soda
15,2019-01-04 18:01:18,soda
26,2019-01-04 18:31:20,coffee
86,2019-01-04 18:31:34,coffee
77,2019-01-04 18:35:49,coffee
82,2019-01-04 18:46:37,coffee
26,2019-01-04 18:56:34,soda
48,2019-01-05 08:01:57,hot chocolate
40,2019-01-05 08:06:01,coffee
13,2019-01-05 08:10:15,coffee
54,2019-01-05 08:11:25,soda
97,2019-01-05 08:13:56,coffee
4,2019-01-05 08:15:26,soda
3,2019-01-05 08:16:09,coffee
94,2019-01-05 08:25:21,coffee
81,2019-01-05 08:28:18,coffee
14,2019-01-05 08:29:06,coffee
35,2019-01-05 08:29:30,coffee
52,2019-01-05 08:32:02,soda
8,2019-01-05 08:33:19,soda
36,2019-01-05 08:36:07,coffee
63,2019-01-05 08:38:21,coffee
33,2019-01-05 08:50:04,coffee
27,2019-01-05 08:50:18,coffee
6,2019-01-05 08:51:16,soda
50,2019-01-05 08:52:02,soda
47,2019-01-05 08:52:11,soda
26,2019-01-05 08:59:49,ice cream
44,2019-01-05 09:02:12,soda
55,2019-01-05 09:02:35,coffee
78,2019-01-05 09:11:31,coffee
23,2019-01-05 09:15:38,coffee
50,2019-01-05 09:20:48,coffee
55,2019-01-05 09:21:48,hot chocolate
31,2019-01-05 09:23:47,soda
17,2019-01-05 09:26:15,soda
101,2019-01-05 09:27:23,coffee
41,2019-01-05 09:28:20,soda
124,2019-01-05 09:28:49,coffee
96,2019-01-05 09:34:44,coffee
124,2019-01-05 09:36:04,hot chocolate
41,2019-01-05 09:45:35,coffee
10,2019-01-05 09:55:25,ice cream
102,2019-01-05 09:56:11,coffee
79,2019-01-05 10:01:05,coffee
21,2019-01-05 10:05:37,ice cream
105,2019-01-05 10:06:37,coffee
66,2019-01-05 10:10:03,coffee
24,2019-01-05 10:10:39,soda
18,2019-01-05 10:13:35,coffee
15,2019-01-05 10:15:31,soda
27,2019-01-05 10:17:29,soda
32,2019-01-05 10:18:33,soda
115,2019-01-05 10:18:43,coffee
107,2019-01-05 10:19:06,hot chocolate
25,2019-01-05 10:21:03,coffee
13,2019-01-05 10:23:01,ice cream
59,2019-01-05 10:29:17,coffee
16,2019-01-05 10:38:38,coffee
54,2019-01-05 10:41:04,hot chocolate
86,2019-01-05 10:44:14,coffee
23,2019-01-05 10:49:20,soda
6,2019-01-05 10:52:19,hot chocolate
13,2019-01-05 10:53:46,hot chocolate
32,2019-01-05 10:58:04,coffee
60,2019-01-05 10:58:07,coffee
18,2019-01-05 11:01:42,hot chocolate
78,2019-01-05 11:05:14,hot chocolate
17,2019-01-05 11:05:24,ice cream
52,2019-01-05 11:07:27,coffee
18,2019-01-05 11:07:28,soda
112,2019-01-05 11:08:21,coffee
24,2019-01-05 11:12:18,coffee
64,2019-01-05 11:28:17,hot chocolate
69,2019-01-05 11:32:44,hot chocolate
88,2019-01-05 11:33:00,coffee
16,2019-01-05 11:33:01,ice cream
1,2019-01-05 11:33:27,ice cream
85,2019-01-05 11:33:36,coffee
24,2019-01-05 11:36:41,ice cream
7,2019-01-05 11:39:01,coffee
106,2019-01-05 11:45:22,coffee
22,2019-01-05 11:48:29,soda
53,2019-01-05 11:52:17,hot chocolate
35,2019-01-05 11:53:14,soda
33,2019-01-05 11:54:55,soda
58,2019-01-05 11:55:26,coffee
4,2019-01-05 11:56:57,ice cream
114,2019-01-05 11:59:24,hot chocolate
97,2019-01-05 12:00:28,hot chocolate
8,2019-01-05 12:02:36,hot chocolate
99,2019-01-05 12:02:53,hot chocolate
72,2019-01-05 12:03:42,coffee
54,2019-01-05 12:12:12,coffee
6,2019-01-05 12:13:44,coffee
120,2019-01-05 12:19:25,coffee
11,2019-01-05 12:21:14,ice cream
15,2019-01-05 12:22:46,coffee
104,2019-01-05 12:30:27,hot chocolate
90,2019-01-05 12:31:35,hot chocolate
16,2019-01-05 12:32:03,hot chocolate
40,2019-01-05 12:33:21,hot chocolate
100,2019-01-05 12:35:52,coffee
75,2019-01-05 12:37:41,coffee
11,2019-01-05 12:38:55,coffee
95,2019-01-05 12:39:57,coffee
28,2019-01-05 12:40:06,hot chocolate
87,2019-01-05 12:41:41,coffee
106,2019-01-05 12:42:50,hot chocolate
104,2019-01-05 12:43:53,coffee
42,2019-01-05 12:43:58,coffee
100,2019-01-05 12:44:38,hot chocolate
22,2019-01-05 12:44:42,hot chocolate
112,2019-01-05 12:44:59,hot chocolate
103,2019-01-05 12:45:13,coffee
82,2019-01-05 12:45:38,hot chocolate
122,2019-01-05 12:47:51,hot chocolate
67,2019-01-05 12:48:10,hot chocolate
7,2019-01-05 12:49:44,hot chocolate
95,2019-01-05 12:51:48,hot chocolate
92,2019-01-05 12:55:42,hot chocolate
2,2019-01-05 12:56:33,coffee
51,2019-01-05 12:58:14,coffee
82,2019-01-05 12:59:18,coffee
18,2019-01-05 13:06:35,ice cream
1,2019-01-05 13:07:39,hot chocolate
58,2019-01-05 13:07:51,soda
68,2019-01-05 13:07:52,coffee
4,2019-01-05 13:08:46,hot chocolate
87,2019-01-05 13:12:02,hot chocolate
49,2019-01-05 13:17:33,coffee
28,2019-01-05 13:17:39,coffee
65,2019-01-05 13:19:17,coffee
113,2019-01-05 13:20:02,hot chocolate
23,2019-01-05 13:20:17,hot chocolate
38,2019-01-05 13:20:41,coffee
64,2019-01-05 13:22:01,coffee
31,2019-01-05 13:22:25,coffee
33,2019-01-05 13:24:48,hot chocolate
43,2019-01-05 13:25:58,hot chocolate
96,2019-01-05 13:27:07,hot chocolate
50,2019-01-05 13:27:12,hot chocolate
77,2019-01-05 13:27:12,coffee
46,2019-01-05 13:28:36,soda
20,2019-01-05 13:29:18,soda
45,2019-01-05 13:29:28,soda
58,2019-01-05 13:29:29,hot chocolate
98,2019-01-05 13:33:25,hot chocolate
4,2019-01-05 13:35:00,coffee
120,2019-01-05 13:36:28,hot chocolate
59,2019-01-05 13:37:58,hot chocolate
93,2019-01-05 13:38:09,hot chocolate
36,2019-01-05 13:38:25,soda
39,2019-01-05 13:39:50,coffee
21,2019-01-05 13:43:43,soda
83,2019-01-05 13:43:55,coffee
51,2019-01-05 13:43:57,hot chocolate
111,2019-01-05 13:44:38,hot chocolate
0,2019-01-05 13:46:41,ice cream
17,2019-01-05 13:49:10,hot chocolate
9,2019-01-05 13:50:36,ice cream
11,2019-01-05 13:55:03,hot chocolate
10,2019-01-05 13:56:58,hot chocolate
10,2019-01-05 14:03:10,coffee
57,2019-01-05 14:06:08,hot chocolate
56,2019-01-05 14:06:31,soda
61,2019-01-05 14:06:33,coffee
77,2019-01-05 14:06:35,hot chocolate
62,2019-01-05 14:06:37,hot chocolate
86,2019-01-05 14:07:42,hot chocolate
121,2019-01-05 14:08:41,hot chocolate
74,2019-01-05 14:12:01,hot chocolate
88,2019-01-05 14:12:26,hot chocolate
66,2019-01-05 14:13:17,soda
119,2019-01-05 14:15:31,coffee
9,2019-01-05 14:20:57,hot chocolate
25,2019-01-05 14:24:54,ice cream
76,2019-01-05 14:26:10,coffee
99,2019-01-05 14:26:20,coffee
44,2019-01-05 14:27:41,hot chocolate
109,2019-01-05 14:28:05,coffee
1,2019-01-05 14:28:08,soda
127,2019-01-05 14:31:42,hot chocolate
28,2019-01-05 14:32:36,ice cream
42,2019-01-05 14:35:57,hot chocolate
59,2019-01-05 14:52:57,soda
65,2019-01-05 14:53:07,hot chocolate
12,2019-01-05 14:54:25,hot chocolate
118,2019-01-05 14:54:44,coffee
73,2019-01-05 14:55:17,hot chocolate
123,2019-01-05 14:55:29,hot chocolate
35,2019-01-05 14:59:24,hot chocolate
80,2019-01-05 14:59:45,hot chocolate
102,2019-01-05 15:00:25,hot chocolate
56,2019-01-05 15:01:04,hot chocolate
20,2019-01-05 15:01:52,ice cream
116,2019-01-05 15:03:46,hot chocolate
6,2019-01-05 15:04:24,ice cream
19,2019-01-05 15:06:58,ice cream
89,2019-01-05 15:07:09,coffee
118,2019-01-05 15:08:39,hot chocolate
69,2019-01-05 15:09:24,coffee
107,2019-01-05 15:10:05,coffee
83,2019-01-05 15:11:06,hot chocolate
12,2019-01-05 15:11:18,coffee
126,2019-01-05 15:12:47,hot chocolate
71,2019-01-05 15:13:03,hot chocolate
115,2019-01-05 15:16:34,hot chocolate
45,2019-01-05 15:17:37,hot chocolate
38,2019-01-05 15:21:25,hot chocolate
108,2019-01-05 15:21:48,hot chocolate
48,2019-01-05 15:24:19,coffee
27,2019-01-05 15:25:43,hot chocolate
60,2019-01-05 15:26:46,hot chocolate
110,2019-01-05 15:27:22,coffee
26,2019-01-05 15:31:41,hot chocolate
3,2019-01-05 15:32:44,soda
19,2019-01-05 15:33:12,hot chocolate
113,2019-01-05 15:34:19,coffee
5,2019-01-05 15:37:27,hot chocolate
39,2019-01-05 15:41:43,soda
91,2019-01-05 15:42:06,hot chocolate
9,2019-01-05 15:47:09,soda
22,2019-01-05 15:49:18,ice cream
85,2019-01-05 15:51:08,hot chocolate
2,2019-01-05 15:51:44,ice cream
81,2019-01-05 15:53:42,hot chocolate
62,2019-01-05 15:54:35,soda
103,2019-01-05 15:55:05,hot chocolate
23,2019-01-05 15:55:49,ice cream
76,2019-01-05 15:57:18,hot chocolate
110,2019-01-05 16:03:31,hot chocolate
70,2019-01-05 16:04:10,hot chocolate
46,2019-01-05 16:08:21,hot chocolate
37,2019-01-05 16:08:28,hot chocolate
128,2019-01-05 16:12:46,hot chocolate
62,2019-01-05 16:14:40,coffee
8,2019-01-05 16:15:51,ice cream
0,2019-01-05 16:27:37,hot chocolate
24,2019-01-05 16:32:20,hot chocolate
