,date,product,machine
468,2020-11-13 12:09:18,coffee,B
469,2020-11-13 12:10:40,coffee,B
470,2020-11-13 12:14:27,soda,C
471,2020-11-13 12:20:08,soda,D
472,2020-11-13 12:21:36,coffee,A
473,2020-11-13 12:24:14,coffee,D
474,2020-11-13 12:25:57,coffee,B
475,2020-11-13 12:26:51,soda,B
476,2020-11-13 12:34:17,soda,B
477,2020-11-13 12:40:43,soda,B
478,2020-11-13 12:42:55,coffee,C
479,2020-11-13 12:44:26,coffee,A
480,2020-11-13 12:44:44,coffee,D
481,2020-11-13 12:45:52,soda,B
482,2020-11-13 12:46:44,soda,B
483,2020-11-13 12:46:50,coffee,B
484,2020-11-13 12:47:13,coffee,D
485,2020-11-13 12:48:26,coffee,D
486,2020-11-13 12:51:08,soda,D
487,2020-11-13 12:51:17,coffee,B
488,2020-11-13 12:52:29,soda,B
489,2020-11-13 12:53:19,coffee,A
490,2020-11-13 12:54:19,soda,B
491,2020-11-13 12:54:26,coffee,D
492,2020-11-13 12:57:37,coffee,B
493,2020-11-13 13:01:34,coffee,D
494,2020-11-13 13:02:33,coffee,C
495,2020-11-13 13:02:35,soda,B
496,2020-11-13 13:03:48,coffee,D
497,2020-11-13 13:05:31,coffee,B
498,2020-11-13 13:07:39,soda,A
499,2020-11-13 13:11:53,coffee,C
500,2020-11-13 13:13:23,coffee,D
501,2020-11-13 13:21:39,coffee,C
502,2020-11-13 13:22:12,coffee,D
503,2020-11-13 13:22:32,coffee,D
504,2020-11-13 13:22:51,soda,A
505,2020-11-13 13:33:06,nrj,B
506,2020-11-13 13:35:01,coffee,C
507,2020-11-13 13:35:19,coffee,D
508,2020-11-13 13:36:16,soda,C
509,2020-11-13 13:42:59,coffee,C
510,2020-11-13 13:44:15,coffee,D
511,2020-11-13 13:46:25,coffee,D
512,2020-11-13 13:46:55,coffee,C
513,2020-11-13 13:48:04,coffee,D
514,2020-11-13 13:52:16,coffee,A
515,2020-11-13 13:54:52,nrj,B
516,2020-11-13 13:56:54,coffee,D
517,2020-11-13 13:57:18,coffee,B
518,2020-11-13 14:02:07,coffee,B
519,2020-11-13 14:04:27,soda,D
520,2020-11-13 14:08:03,soda,A
521,2020-11-13 14:10:35,soda,C
522,2020-11-13 14:12:59,coffee,A
523,2020-11-13 14:15:02,coffee,D
524,2020-11-13 14:17:47,coffee,D
525,2020-11-13 14:19:09,coffee,D
526,2020-11-13 14:19:15,coffee,B
527,2020-11-13 14:19:53,coffee,C
528,2020-11-13 14:22:16,coffee,A
529,2020-11-13 14:24:28,soda,A
530,2020-11-13 14:25:20,soda,B
531,2020-11-13 14:25:22,coffee,B
532,2020-11-13 14:26:11,soda,B
533,2020-11-13 14:27:38,coffee,B
534,2020-11-13 14:28:45,nrj,A
535,2020-11-13 14:37:50,coffee,B
536,2020-11-13 14:42:43,coffee,D
537,2020-11-13 14:45:52,coffee,B
538,2020-11-13 14:46:09,coffee,D
539,2020-11-13 14:46:35,coffee,C
540,2020-11-13 14:49:33,coffee,D
541,2020-11-13 14:51:52,soda,C
542,2020-11-13 14:52:20,coffee,C
543,2020-11-13 14:52:45,soda,D
544,2020-11-13 14:54:33,nrj,D
545,2020-11-13 14:56:51,coffee,C
546,2020-11-13 14:57:05,coffee,B
547,2020-11-13 15:03:13,coffee,C
548,2020-11-13 15:07:08,soda,C
549,2020-11-13 15:09:16,coffee,D
550,2020-11-13 15:10:22,coffee,B
551,2020-11-13 15:10:48,nrj,B
552,2020-11-13 15:11:04,coffee,C
553,2020-11-13 15:11:53,coffee,C
554,2020-11-13 15:19:02,coffee,C
555,2020-11-13 15:19:44,nrj,D
556,2020-11-13 15:21:05,nrj,D
557,2020-11-13 15:21:54,coffee,A
558,2020-11-13 15:23:19,coffee,D
559,2020-11-13 15:26:37,coffee,D
560,2020-11-13 15:29:08,coffee,C
561,2020-11-13 15:33:51,coffee,D
562,2020-11-13 15:37:17,coffee,A
563,2020-11-13 15:43:22,nrj,B
564,2020-11-13 15:43:39,coffee,B
565,2020-11-13 15:53:25,soda,B
566,2020-11-13 15:53:32,nrj,B
567,2020-11-13 15:55:05,coffee,B
568,2020-11-13 15:59:54,nrj,B
569,2020-11-13 16:01:26,soda,A
570,2020-11-13 16:02:39,soda,D
571,2020-11-13 16:04:28,coffee,D
572,2020-11-13 16:04:41,coffee,B
573,2020-11-13 16:06:14,coffee,C
574,2020-11-13 16:08:29,nrj,D
575,2020-11-13 16:12:57,soda,B
576,2020-11-13 16:19:10,soda,D
577,2020-11-13 16:20:50,nrj,D
578,2020-11-13 16:26:49,coffee,C
579,2020-11-13 16:34:10,coffee,C
580,2020-11-13 16:42:28,nrj,D
581,2020-11-13 16:45:37,coffee,B
582,2020-11-13 16:46:21,soda,D
583,2020-11-13 16:48:08,coffee,A
584,2020-11-13 16:49:36,nrj,A
585,2020-11-13 16:50:59,coffee,B
586,2020-11-13 16:55:10,soda,A
587,2020-11-13 16:55:15,coffee,A
588,2020-11-13 16:56:43,nrj,B
589,2020-11-13 16:58:31,coffee,B
590,2020-11-13 17:00:08,soda,D
591,2020-11-13 17:01:03,coffee,A
592,2020-11-13 17:01:28,coffee,C
593,2020-11-13 17:02:05,coffee,C
594,2020-11-13 17:02:21,coffee,B
595,2020-11-13 17:02:38,nrj,C
596,2020-11-13 17:08:40,coffee,C
597,2020-11-13 17:11:47,coffee,D
598,2020-11-13 17:15:04,coffee,C
599,2020-11-13 17:16:33,coffee,C
600,2020-11-13 17:18:58,nrj,B
601,2020-11-13 17:19:19,soda,A
602,2020-11-13 17:25:35,coffee,B
603,2020-11-13 17:26:46,nrj,B
604,2020-11-13 17:28:22,coffee,B
605,2020-11-13 17:31:14,soda,D
606,2020-11-13 17:31:14,coffee,D
607,2020-11-13 17:33:46,coffee,A
608,2020-11-13 17:35:50,nrj,A
609,2020-11-13 17:39:13,nrj,D
610,2020-11-13 17:40:19,soda,D
611,2020-11-13 17:46:07,soda,B
612,2020-11-13 17:55:32,soda,B
613,2020-11-13 17:58:24,soda,D
614,2020-11-13 18:06:45,soda,B
615,2020-11-13 18:07:17,coffee,D
616,2020-11-13 18:08:03,nrj,B
617,2020-11-13 18:09:09,nrj,B
618,2020-11-13 18:10:54,nrj,D
619,2020-11-13 18:17:07,nrj,B
620,2020-11-13 18:21:07,soda,B
621,2020-11-13 18:25:28,soda,D
622,2020-11-13 18:27:45,coffee,B
623,2020-11-13 18:32:18,nrj,A
624,2020-11-13 18:35:19,nrj,A
625,2020-11-13 18:35:45,soda,D
626,2020-11-13 18:38:38,nrj,D
627,2020-11-13 18:39:15,soda,D
628,2020-11-13 18:43:43,soda,B
629,2020-11-13 18:44:32,coffee,B
630,2020-11-13 18:45:23,soda,B
631,2020-11-13 18:45:25,coffee,D
632,2020-11-13 18:48:03,nrj,B
633,2020-11-13 18:57:10,soda,A
634,2020-11-13 19:11:20,coffee,A
635,2020-11-13 19:15:55,nrj,B
636,2020-11-13 19:19:11,soda,B
637,2020-11-13 19:27:17,soda,A
638,2020-11-13 19:30:44,nrj,D
639,2020-11-13 19:37:32,soda,D
640,2020-11-13 19:41:35,soda,D
641,2020-11-13 19:48:37,nrj,D
642,2020-11-13 19:52:05,coffee,B
643,2020-11-13 19:54:12,nrj,D
644,2020-11-13 19:54:54,nrj,B
645,2020-11-13 20:08:11,nrj,B
646,2020-11-13 20:15:15,soda,D
647,2020-11-13 20:17:12,nrj,B
648,2020-11-13 20:23:17,soda,C
649,2020-11-13 20:35:28,coffee,B
650,2020-11-13 20:36:37,nrj,B
651,2020-11-13 20:40:06,nrj,D
652,2020-11-13 20:40:18,nrj,A
653,2020-11-13 21:03:11,nrj,B
654,2020-11-13 21:13:20,nrj,A
655,2020-11-13 21:14:48,nrj,B
656,2020-11-13 21:15:54,soda,A
657,2020-11-13 21:21:46,nrj,B
658,2020-11-13 21:33:18,nrj,D
659,2020-11-13 21:40:50,nrj,B
660,2020-11-13 21:41:04,soda,A
661,2020-11-13 21:45:51,soda,D
662,2020-11-13 21:57:46,nrj,D
663,2020-11-13 21:59:03,nrj,D
664,2020-11-13 22:00:57,nrj,B
665,2020-11-13 22:05:51,soda,D
666,2020-11-13 22:16:56,nrj,B
667,2020-11-13 22:22:19,nrj,C
668,2020-11-13 22:26:57,nrj,D
669,2020-11-13 22:31:23,soda,C
670,2020-11-13 22:39:21,soda,D
671,2020-11-13 22:47:28,nrj,B
672,2020-11-13 22:48:39,nrj,B
673,2020-11-13 22:53:32,soda,B
674,2020-11-13 22:54:26,nrj,B
675,2020-11-13 23:01:12,soda,C
676,2020-11-13 23:08:00,soda,B
677,2020-11-13 23:11:29,soda,C
678,2020-11-13 23:14:44,soda,A
679,2020-11-13 23:17:16,soda,B
680,2020-11-13 23:25:43,soda,B
681,2020-11-13 23:34:52,coffee,B
682,2020-11-13 23:35:51,soda,C
